entity,source,risk_type,risk_score,description,date
ACCT200236,Dark Web Monitoring,Sanctions Exposure,0.56,Referenced in dark web forum discussing illicit financial transfers,2024-05-31
ACCT200462,Open Source Intelligence,Fraud Investigation Mention,0.88,Linked to offshore shell company registered in Cayman Islands,2025-05-24
CUST90082,Social Media Monitoring,Offshore Account Activity,0.79,Mentioned in regulatory investigation related to financial misconduct,2024-11-15
ACCT200231,Financial News Feed,Negative Media,0.65,Referenced in dark web forum discussing illicit financial transfers,2024-08-30
ACCT200203,Regulatory Bulletin,Shell Company Association,0.91,Connected to politically exposed individual under investigation,2024-11-17
ACCT200220,Social Media Monitoring,Politically Exposed Person Link,0.68,Connected to politically exposed individual under investigation,2024-01-05
ACCT200290,Social Media Monitoring,Offshore Account Activity,0.75,Associated with high-risk cryptocurrency exchange activity,2025-08-17
ACCT200227,Dark Web Monitoring,Sanctions Exposure,0.66,Negative media coverage related to corruption allegations,2025-02-24
CUST90106,Financial News Feed,Crypto Laundering Indicator,0.94,Referenced in dark web forum discussing illicit financial transfers,2025-08-06
CUST90082,Financial News Feed,Sanctions Exposure,0.62,Negative media coverage related to corruption allegations,2024-01-07
ACCT200153,Sanctions Watchlist,Offshore Account Activity,0.96,Mentioned in regulatory investigation related to financial misconduct,2024-04-06
CUST90045,Financial News Feed,Negative Media,0.86,Associated with high-risk cryptocurrency exchange activity,2025-04-30
ACCT200443,Open Source Intelligence,Negative Media,0.7,Referenced in dark web forum discussing illicit financial transfers,2025-02-12
CUST90287,Financial News Feed,Fraud Investigation Mention,0.58,Named in leaked documents involving offshore tax structures,2025-01-17
CUST90069,Regulatory Bulletin,Terror Financing Link,0.7,Mentioned in regulatory investigation related to financial misconduct,2025-07-07
ACCT200074,Financial News Feed,Terror Financing Link,0.81,Named in leaked documents involving offshore tax structures,2024-03-30
CUST90265,Social Media Monitoring,Politically Exposed Person Link,0.68,Named in leaked documents involving offshore tax structures,2025-02-28
ACCT200408,Sanctions Watchlist,Negative Media,0.96,Named in leaked documents involving offshore tax structures,2024-11-08
CUST90208,Dark Web Monitoring,Crypto Laundering Indicator,0.65,Associated with high-risk cryptocurrency exchange activity,2025-03-19
ACCT200307,Social Media Monitoring,Shell Company Association,0.87,Associated with high-risk cryptocurrency exchange activity,2024-10-08
ACCT200070,Social Media Monitoring,Offshore Account Activity,0.92,Mentioned in regulatory investigation related to financial misconduct,2025-05-15
CUST90162,Regulatory Bulletin,Politically Exposed Person Link,0.78,Associated with high-risk cryptocurrency exchange activity,2024-05-04
ACCT200138,Sanctions Watchlist,Shell Company Association,0.83,Negative media coverage related to corruption allegations,2025-07-08
ACCT200098,Financial News Feed,Negative Media,0.8,Mentioned in regulatory investigation related to financial misconduct,2024-10-03
CUST90218,Sanctions Watchlist,Negative Media,0.59,Linked to offshore shell company registered in Cayman Islands,2025-06-13
CUST90127,Open Source Intelligence,Offshore Account Activity,0.79,Associated with high-risk cryptocurrency exchange activity,2024-08-17
ACCT200231,Financial News Feed,Sanctions Exposure,0.46,Referenced in dark web forum discussing illicit financial transfers,2025-03-11
ACCT200056,Social Media Monitoring,Terror Financing Link,0.81,Identified in sanctions advisory regarding suspicious financial networks,2024-06-22
ACCT200003,Regulatory Bulletin,Crypto Laundering Indicator,0.61,Mentioned in regulatory investigation related to financial misconduct,2024-12-27
CUST90123,Financial News Feed,Terror Financing Link,0.69,Referenced in dark web forum discussing illicit financial transfers,2025-05-23
ACCT200307,Open Source Intelligence,Terror Financing Link,0.56,Negative media coverage related to corruption allegations,2025-04-28
ACCT200394,Social Media Monitoring,Fraud Investigation Mention,0.46,Connected to politically exposed individual under investigation,2025-07-24
CUST90082,Sanctions Watchlist,Negative Media,0.88,Identified in sanctions advisory regarding suspicious financial networks,2024-12-08
ACCT200174,Social Media Monitoring,Offshore Account Activity,0.73,Associated with high-risk cryptocurrency exchange activity,2024-04-27
ACCT200271,Dark Web Monitoring,Terror Financing Link,0.61,Referenced in dark web forum discussing illicit financial transfers,2024-07-23
ACCT200232,Open Source Intelligence,Terror Financing Link,0.77,Linked to offshore shell company registered in Cayman Islands,2024-12-11
ACCT200298,Social Media Monitoring,Fraud Investigation Mention,0.67,Named in leaked documents involving offshore tax structures,2024-05-22
CUST90240,Social Media Monitoring,Sanctions Exposure,0.76,Identified in sanctions advisory regarding suspicious financial networks,2025-02-07
ACCT200254,Open Source Intelligence,Crypto Laundering Indicator,0.91,Associated with high-risk cryptocurrency exchange activity,2025-04-14
CUST90200,Financial News Feed,Shell Company Association,0.64,Mentioned in regulatory investigation related to financial misconduct,2025-04-13
CUST90162,Social Media Monitoring,Negative Media,0.73,Linked to offshore shell company registered in Cayman Islands,2025-02-05
ACCT200015,Dark Web Monitoring,Offshore Account Activity,0.48,Connected to politically exposed individual under investigation,2024-06-20
CUST90272,Financial News Feed,Sanctions Exposure,0.85,Negative media coverage related to corruption allegations,2024-08-07
CUST90186,Financial News Feed,Fraud Investigation Mention,0.96,Linked to offshore shell company registered in Cayman Islands,2025-07-16
ACCT200332,Sanctions Watchlist,Sanctions Exposure,0.48,Named in leaked documents involving offshore tax structures,2025-02-03
ACCT200027,Dark Web Monitoring,Shell Company Association,0.56,Linked to offshore shell company registered in Cayman Islands,2025-01-09
ACCT200124,Social Media Monitoring,Negative Media,0.94,Identified in sanctions advisory regarding suspicious financial networks,2024-01-18
ACCT200203,Sanctions Watchlist,Offshore Account Activity,0.55,Identified in sanctions advisory regarding suspicious financial networks,2025-02-17
ACCT200324,Regulatory Bulletin,Sanctions Exposure,0.47,Referenced in dark web forum discussing illicit financial transfers,2025-07-07
CUST90206,Financial News Feed,Shell Company Association,0.47,Mentioned in regulatory investigation related to financial misconduct,2024-12-05
ACCT200042,Dark Web Monitoring,Shell Company Association,0.89,Associated with high-risk cryptocurrency exchange activity,2024-05-12
CUST90202,Dark Web Monitoring,Negative Media,0.49,Identified in sanctions advisory regarding suspicious financial networks,2024-10-31
ACCT200064,Sanctions Watchlist,Crypto Laundering Indicator,0.64,Negative media coverage related to corruption allegations,2024-09-13
ACCT200194,Social Media Monitoring,Sanctions Exposure,0.55,Negative media coverage related to corruption allegations,2024-08-16
ACCT200405,Dark Web Monitoring,Negative Media,0.87,Negative media coverage related to corruption allegations,2025-06-08
CUST90224,Open Source Intelligence,Offshore Account Activity,0.76,Linked to offshore shell company registered in Cayman Islands,2024-09-04
CUST90154,Dark Web Monitoring,Shell Company Association,0.88,Associated with high-risk cryptocurrency exchange activity,2024-06-04
ACCT200089,Open Source Intelligence,Shell Company Association,0.59,Mentioned in regulatory investigation related to financial misconduct,2024-10-06
CUST90179,Financial News Feed,Politically Exposed Person Link,0.85,Mentioned in regulatory investigation related to financial misconduct,2025-01-31
ACCT200461,Financial News Feed,Negative Media,0.73,Linked to offshore shell company registered in Cayman Islands,2025-03-07
ACCT200210,Sanctions Watchlist,Politically Exposed Person Link,0.55,Mentioned in regulatory investigation related to financial misconduct,2024-12-04
CUST90108,Sanctions Watchlist,Negative Media,0.74,Mentioned in regulatory investigation related to financial misconduct,2024-08-10
CUST90149,Dark Web Monitoring,Crypto Laundering Indicator,0.71,Connected to politically exposed individual under investigation,2024-11-05
CUST90138,Social Media Monitoring,Negative Media,0.75,Mentioned in regulatory investigation related to financial misconduct,2025-07-29
ACCT200452,Financial News Feed,Offshore Account Activity,0.49,Associated with high-risk cryptocurrency exchange activity,2025-01-05
ACCT200335,Dark Web Monitoring,Sanctions Exposure,0.81,Linked to offshore shell company registered in Cayman Islands,2024-02-04
ACCT200306,Regulatory Bulletin,Shell Company Association,0.92,Named in leaked documents involving offshore tax structures,2025-08-22
ACCT200150,Social Media Monitoring,Fraud Investigation Mention,0.85,Associated with high-risk cryptocurrency exchange activity,2024-02-24
ACCT200026,Social Media Monitoring,Negative Media,0.62,Referenced in dark web forum discussing illicit financial transfers,2025-05-08
ACCT200024,Dark Web Monitoring,Shell Company Association,0.83,Associated with high-risk cryptocurrency exchange activity,2024-05-24
ACCT200435,Social Media Monitoring,Shell Company Association,0.75,Named in leaked documents involving offshore tax structures,2024-02-20
ACCT200211,Financial News Feed,Politically Exposed Person Link,0.46,Identified in sanctions advisory regarding suspicious financial networks,2025-05-15
ACCT200060,Open Source Intelligence,Fraud Investigation Mention,0.88,Mentioned in regulatory investigation related to financial misconduct,2025-02-11
CUST90129,Sanctions Watchlist,Sanctions Exposure,0.97,Connected to politically exposed individual under investigation,2024-04-30
ACCT200281,Dark Web Monitoring,Offshore Account Activity,0.75,Associated with high-risk cryptocurrency exchange activity,2024-04-16
ACCT200113,Open Source Intelligence,Shell Company Association,0.54,Linked to offshore shell company registered in Cayman Islands,2025-07-15
ACCT200395,Dark Web Monitoring,Politically Exposed Person Link,0.95,Linked to offshore shell company registered in Cayman Islands,2024-07-31
CUST90244,Regulatory Bulletin,Crypto Laundering Indicator,0.67,Linked to offshore shell company registered in Cayman Islands,2024-03-30
CUST90265,Sanctions Watchlist,Shell Company Association,0.9,Connected to politically exposed individual under investigation,2025-06-17
ACCT200401,Social Media Monitoring,Sanctions Exposure,0.82,Referenced in dark web forum discussing illicit financial transfers,2025-02-02
CUST90105,Open Source Intelligence,Fraud Investigation Mention,0.72,Negative media coverage related to corruption allegations,2024-02-14
ACCT200368,Open Source Intelligence,Crypto Laundering Indicator,0.87,Referenced in dark web forum discussing illicit financial transfers,2025-06-08
ACCT200436,Regulatory Bulletin,Terror Financing Link,0.83,Named in leaked documents involving offshore tax structures,2025-07-30
CUST90159,Sanctions Watchlist,Sanctions Exposure,0.83,Named in leaked documents involving offshore tax structures,2025-07-09
ACCT200112,Financial News Feed,Terror Financing Link,0.8,Identified in sanctions advisory regarding suspicious financial networks,2025-03-17
ACCT200483,Sanctions Watchlist,Shell Company Association,0.92,Associated with high-risk cryptocurrency exchange activity,2024-04-17
CUST90007,Dark Web Monitoring,Sanctions Exposure,0.68,Linked to offshore shell company registered in Cayman Islands,2024-09-10
ACCT200211,Dark Web Monitoring,Politically Exposed Person Link,0.92,Negative media coverage related to corruption allegations,2025-07-15
CUST90045,Regulatory Bulletin,Offshore Account Activity,0.98,Negative media coverage related to corruption allegations,2024-02-03
ACCT200421,Open Source Intelligence,Sanctions Exposure,0.66,Linked to offshore shell company registered in Cayman Islands,2024-05-04
CUST90208,Dark Web Monitoring,Crypto Laundering Indicator,0.82,Negative media coverage related to corruption allegations,2024-04-04
ACCT200287,Open Source Intelligence,Politically Exposed Person Link,0.86,Identified in sanctions advisory regarding suspicious financial networks,2024-10-01
ACCT200048,Social Media Monitoring,Offshore Account Activity,0.5,Referenced in dark web forum discussing illicit financial transfers,2024-06-17
CUST90072,Sanctions Watchlist,Fraud Investigation Mention,0.79,Identified in sanctions advisory regarding suspicious financial networks,2025-05-04
CUST90046,Regulatory Bulletin,Negative Media,0.96,Mentioned in regulatory investigation related to financial misconduct,2025-02-11
CUST90034,Financial News Feed,Sanctions Exposure,0.67,Linked to offshore shell company registered in Cayman Islands,2024-01-27
CUST90049,Regulatory Bulletin,Shell Company Association,0.87,Linked to offshore shell company registered in Cayman Islands,2025-01-23
ACCT200126,Dark Web Monitoring,Fraud Investigation Mention,0.98,Associated with high-risk cryptocurrency exchange activity,2025-06-15
ACCT200422,Sanctions Watchlist,Sanctions Exposure,0.76,Mentioned in regulatory investigation related to financial misconduct,2024-01-21
CUST90144,Financial News Feed,Crypto Laundering Indicator,0.67,Named in leaked documents involving offshore tax structures,2024-09-05
ACCT200438,Sanctions Watchlist,Sanctions Exposure,0.83,Referenced in dark web forum discussing illicit financial transfers,2024-08-25
ACCT200047,Open Source Intelligence,Negative Media,0.65,Associated with high-risk cryptocurrency exchange activity,2025-06-20
ACCT200318,Regulatory Bulletin,Crypto Laundering Indicator,0.48,Associated with high-risk cryptocurrency exchange activity,2024-04-04
ACCT200366,Dark Web Monitoring,Politically Exposed Person Link,0.81,Mentioned in regulatory investigation related to financial misconduct,2025-08-06
ACCT200485,Financial News Feed,Negative Media,0.75,Associated with high-risk cryptocurrency exchange activity,2024-11-06
CUST90106,Regulatory Bulletin,Shell Company Association,0.55,Mentioned in regulatory investigation related to financial misconduct,2024-05-01
CUST90238,Dark Web Monitoring,Terror Financing Link,0.58,Linked to offshore shell company registered in Cayman Islands,2024-07-31
ACCT200143,Dark Web Monitoring,Politically Exposed Person Link,0.85,Named in leaked documents involving offshore tax structures,2025-02-10
ACCT200494,Regulatory Bulletin,Terror Financing Link,0.84,Connected to politically exposed individual under investigation,2025-04-15
ACCT200395,Open Source Intelligence,Shell Company Association,0.52,Named in leaked documents involving offshore tax structures,2024-01-19
ACCT200350,Regulatory Bulletin,Crypto Laundering Indicator,0.58,Linked to offshore shell company registered in Cayman Islands,2024-12-03
CUST90225,Dark Web Monitoring,Offshore Account Activity,0.91,Identified in sanctions advisory regarding suspicious financial networks,2025-01-26
ACCT200379,Financial News Feed,Sanctions Exposure,0.5,Linked to offshore shell company registered in Cayman Islands,2024-07-16
ACCT200234,Financial News Feed,Terror Financing Link,0.53,Connected to politically exposed individual under investigation,2025-01-14
ACCT200285,Open Source Intelligence,Sanctions Exposure,0.59,Named in leaked documents involving offshore tax structures,2024-07-17
ACCT200391,Social Media Monitoring,Politically Exposed Person Link,0.8,Referenced in dark web forum discussing illicit financial transfers,2024-11-27
CUST90202,Open Source Intelligence,Negative Media,0.64,Associated with high-risk cryptocurrency exchange activity,2024-07-04
ACCT200497,Sanctions Watchlist,Fraud Investigation Mention,0.94,Referenced in dark web forum discussing illicit financial transfers,2025-07-29
ACCT200485,Dark Web Monitoring,Negative Media,0.68,Connected to politically exposed individual under investigation,2024-07-25
ACCT200357,Sanctions Watchlist,Offshore Account Activity,0.5,Linked to offshore shell company registered in Cayman Islands,2024-01-15
ACCT200213,Open Source Intelligence,Terror Financing Link,0.54,Connected to politically exposed individual under investigation,2024-11-10
CUST90243,Social Media Monitoring,Offshore Account Activity,0.94,Connected to politically exposed individual under investigation,2025-01-01
ACCT200051,Sanctions Watchlist,Terror Financing Link,0.75,Named in leaked documents involving offshore tax structures,2024-04-11
ACCT200260,Regulatory Bulletin,Shell Company Association,0.49,Associated with high-risk cryptocurrency exchange activity,2025-02-03
ACCT200398,Dark Web Monitoring,Fraud Investigation Mention,0.73,Mentioned in regulatory investigation related to financial misconduct,2025-06-18
ACCT200060,Financial News Feed,Negative Media,0.91,Negative media coverage related to corruption allegations,2024-09-28
ACCT200000,Sanctions Watchlist,Shell Company Association,0.74,Referenced in dark web forum discussing illicit financial transfers,2024-05-28
ACCT200214,Social Media Monitoring,Fraud Investigation Mention,0.94,Identified in sanctions advisory regarding suspicious financial networks,2025-06-06
ACCT200159,Dark Web Monitoring,Politically Exposed Person Link,0.65,Associated with high-risk cryptocurrency exchange activity,2024-07-27
ACCT200466,Social Media Monitoring,Fraud Investigation Mention,0.72,Referenced in dark web forum discussing illicit financial transfers,2024-10-27
CUST90185,Dark Web Monitoring,Fraud Investigation Mention,0.57,Mentioned in regulatory investigation related to financial misconduct,2024-02-11
ACCT200443,Dark Web Monitoring,Politically Exposed Person Link,0.58,Connected to politically exposed individual under investigation,2024-09-19
ACCT200204,Sanctions Watchlist,Fraud Investigation Mention,0.65,Connected to politically exposed individual under investigation,2024-08-28
CUST90188,Open Source Intelligence,Negative Media,0.55,Named in leaked documents involving offshore tax structures,2024-12-13
ACCT200478,Dark Web Monitoring,Shell Company Association,0.53,Referenced in dark web forum discussing illicit financial transfers,2024-10-03
CUST90173,Social Media Monitoring,Offshore Account Activity,0.54,Connected to politically exposed individual under investigation,2024-05-26
CUST90057,Regulatory Bulletin,Crypto Laundering Indicator,0.46,Negative media coverage related to corruption allegations,2024-01-19
ACCT200381,Sanctions Watchlist,Offshore Account Activity,0.67,Mentioned in regulatory investigation related to financial misconduct,2024-10-30
CUST90188,Dark Web Monitoring,Shell Company Association,0.65,Identified in sanctions advisory regarding suspicious financial networks,2024-11-26
ACCT200050,Social Media Monitoring,Negative Media,0.51,Identified in sanctions advisory regarding suspicious financial networks,2025-01-27
ACCT200148,Regulatory Bulletin,Politically Exposed Person Link,0.52,Identified in sanctions advisory regarding suspicious financial networks,2024-03-26
CUST90181,Sanctions Watchlist,Politically Exposed Person Link,0.85,Identified in sanctions advisory regarding suspicious financial networks,2024-12-11
ACCT200163,Financial News Feed,Fraud Investigation Mention,0.72,Named in leaked documents involving offshore tax structures,2024-03-31
ACCT200068,Dark Web Monitoring,Terror Financing Link,0.79,Identified in sanctions advisory regarding suspicious financial networks,2024-04-12
ACCT200422,Regulatory Bulletin,Politically Exposed Person Link,0.83,Named in leaked documents involving offshore tax structures,2024-06-25
CUST90227,Open Source Intelligence,Crypto Laundering Indicator,0.7,Referenced in dark web forum discussing illicit financial transfers,2024-07-08
CUST90239,Social Media Monitoring,Shell Company Association,0.68,Connected to politically exposed individual under investigation,2025-06-23
ACCT200460,Dark Web Monitoring,Shell Company Association,0.79,Negative media coverage related to corruption allegations,2025-07-28
CUST90194,Dark Web Monitoring,Sanctions Exposure,0.51,Referenced in dark web forum discussing illicit financial transfers,2024-07-29
ACCT200322,Open Source Intelligence,Shell Company Association,0.53,Identified in sanctions advisory regarding suspicious financial networks,2024-05-04
CUST90004,Sanctions Watchlist,Negative Media,0.83,Connected to politically exposed individual under investigation,2024-12-15
ACCT200008,Open Source Intelligence,Politically Exposed Person Link,0.78,Named in leaked documents involving offshore tax structures,2024-02-26
ACCT200142,Regulatory Bulletin,Sanctions Exposure,0.75,Mentioned in regulatory investigation related to financial misconduct,2025-05-08
CUST90095,Sanctions Watchlist,Crypto Laundering Indicator,0.95,Named in leaked documents involving offshore tax structures,2024-06-07
CUST90238,Regulatory Bulletin,Politically Exposed Person Link,0.57,Linked to offshore shell company registered in Cayman Islands,2025-01-27
ACCT200496,Dark Web Monitoring,Crypto Laundering Indicator,0.7,Associated with high-risk cryptocurrency exchange activity,2024-12-03
ACCT200087,Sanctions Watchlist,Shell Company Association,0.97,Linked to offshore shell company registered in Cayman Islands,2024-11-03
CUST90206,Sanctions Watchlist,Negative Media,0.64,Referenced in dark web forum discussing illicit financial transfers,2024-01-08
CUST90023,Dark Web Monitoring,Crypto Laundering Indicator,0.51,Linked to offshore shell company registered in Cayman Islands,2025-04-26
CUST90107,Social Media Monitoring,Sanctions Exposure,0.76,Mentioned in regulatory investigation related to financial misconduct,2025-02-19
CUST90171,Dark Web Monitoring,Crypto Laundering Indicator,0.73,Associated with high-risk cryptocurrency exchange activity,2024-01-14
ACCT200450,Social Media Monitoring,Negative Media,0.96,Negative media coverage related to corruption allegations,2024-02-14
ACCT200350,Social Media Monitoring,Shell Company Association,0.59,Mentioned in regulatory investigation related to financial misconduct,2024-09-02
CUST90108,Sanctions Watchlist,Sanctions Exposure,0.69,Identified in sanctions advisory regarding suspicious financial networks,2024-12-30
CUST90200,Social Media Monitoring,Politically Exposed Person Link,0.59,Negative media coverage related to corruption allegations,2024-09-30
CUST90133,Dark Web Monitoring,Crypto Laundering Indicator,0.88,Connected to politically exposed individual under investigation,2025-05-09
ACCT200263,Social Media Monitoring,Terror Financing Link,0.66,Identified in sanctions advisory regarding suspicious financial networks,2024-02-19
CUST90032,Sanctions Watchlist,Shell Company Association,0.5,Negative media coverage related to corruption allegations,2024-02-02
ACCT200449,Financial News Feed,Terror Financing Link,0.67,Identified in sanctions advisory regarding suspicious financial networks,2025-01-19
ACCT200149,Open Source Intelligence,Crypto Laundering Indicator,0.57,Referenced in dark web forum discussing illicit financial transfers,2025-01-31
ACCT200184,Social Media Monitoring,Negative Media,0.78,Negative media coverage related to corruption allegations,2024-07-03
ACCT200068,Social Media Monitoring,Offshore Account Activity,0.65,Referenced in dark web forum discussing illicit financial transfers,2025-06-27
CUST90055,Dark Web Monitoring,Fraud Investigation Mention,0.72,Linked to offshore shell company registered in Cayman Islands,2024-09-18
ACCT200147,Dark Web Monitoring,Negative Media,0.68,Linked to offshore shell company registered in Cayman Islands,2024-07-03
CUST90117,Financial News Feed,Negative Media,0.73,Named in leaked documents involving offshore tax structures,2024-10-25
ACCT200371,Dark Web Monitoring,Crypto Laundering Indicator,0.75,Named in leaked documents involving offshore tax structures,2025-08-06
CUST90157,Sanctions Watchlist,Fraud Investigation Mention,0.98,Negative media coverage related to corruption allegations,2025-03-24
CUST90015,Dark Web Monitoring,Crypto Laundering Indicator,0.72,Linked to offshore shell company registered in Cayman Islands,2024-06-12
ACCT200039,Sanctions Watchlist,Sanctions Exposure,0.82,Mentioned in regulatory investigation related to financial misconduct,2025-02-10
CUST90270,Social Media Monitoring,Fraud Investigation Mention,0.71,Linked to offshore shell company registered in Cayman Islands,2024-01-14
ACCT200190,Regulatory Bulletin,Shell Company Association,0.93,Identified in sanctions advisory regarding suspicious financial networks,2025-04-12
CUST90183,Regulatory Bulletin,Shell Company Association,0.55,Mentioned in regulatory investigation related to financial misconduct,2024-02-26
ACCT200370,Dark Web Monitoring,Offshore Account Activity,0.61,Named in leaked documents involving offshore tax structures,2024-10-02
ACCT200126,Social Media Monitoring,Shell Company Association,0.86,Negative media coverage related to corruption allegations,2024-04-04
ACCT200403,Social Media Monitoring,Crypto Laundering Indicator,0.95,Associated with high-risk cryptocurrency exchange activity,2024-05-05
ACCT200014,Regulatory Bulletin,Sanctions Exposure,0.97,Referenced in dark web forum discussing illicit financial transfers,2024-02-01
CUST90098,Regulatory Bulletin,Sanctions Exposure,0.67,Negative media coverage related to corruption allegations,2024-08-07
ACCT200010,Open Source Intelligence,Terror Financing Link,0.9,Linked to offshore shell company registered in Cayman Islands,2025-07-04
ACCT200190,Open Source Intelligence,Crypto Laundering Indicator,0.67,Mentioned in regulatory investigation related to financial misconduct,2024-05-13
ACCT200183,Dark Web Monitoring,Sanctions Exposure,0.49,Negative media coverage related to corruption allegations,2024-05-11
CUST90211,Sanctions Watchlist,Crypto Laundering Indicator,0.82,Referenced in dark web forum discussing illicit financial transfers,2025-03-05
CUST90211,Open Source Intelligence,Crypto Laundering Indicator,0.7,Referenced in dark web forum discussing illicit financial transfers,2025-02-01
ACCT200175,Regulatory Bulletin,Politically Exposed Person Link,0.93,Linked to offshore shell company registered in Cayman Islands,2024-03-17
ACCT200025,Regulatory Bulletin,Sanctions Exposure,0.65,Linked to offshore shell company registered in Cayman Islands,2024-02-28
CUST90166,Social Media Monitoring,Offshore Account Activity,0.5,Mentioned in regulatory investigation related to financial misconduct,2025-07-14
ACCT200485,Social Media Monitoring,Crypto Laundering Indicator,0.59,Associated with high-risk cryptocurrency exchange activity,2024-10-23
ACCT200425,Social Media Monitoring,Terror Financing Link,0.59,Identified in sanctions advisory regarding suspicious financial networks,2025-07-01
ACCT200351,Regulatory Bulletin,Fraud Investigation Mention,0.48,Linked to offshore shell company registered in Cayman Islands,2024-02-26
ACCT200440,Financial News Feed,Offshore Account Activity,0.53,Referenced in dark web forum discussing illicit financial transfers,2024-06-06
ACCT200090,Open Source Intelligence,Crypto Laundering Indicator,0.64,Linked to offshore shell company registered in Cayman Islands,2024-10-17
ACCT200262,Regulatory Bulletin,Fraud Investigation Mention,0.46,Referenced in dark web forum discussing illicit financial transfers,2025-01-05
ACCT200457,Sanctions Watchlist,Shell Company Association,0.55,Referenced in dark web forum discussing illicit financial transfers,2024-04-09
CUST90173,Financial News Feed,Shell Company Association,0.74,Mentioned in regulatory investigation related to financial misconduct,2024-02-22
ACCT200499,Sanctions Watchlist,Shell Company Association,0.96,Mentioned in regulatory investigation related to financial misconduct,2025-07-30
ACCT200285,Sanctions Watchlist,Fraud Investigation Mention,0.75,Linked to offshore shell company registered in Cayman Islands,2025-03-17
ACCT200312,Sanctions Watchlist,Shell Company Association,0.79,Mentioned in regulatory investigation related to financial misconduct,2024-07-01
CUST90056,Social Media Monitoring,Politically Exposed Person Link,0.81,Mentioned in regulatory investigation related to financial misconduct,2024-12-01
CUST90091,Open Source Intelligence,Offshore Account Activity,0.58,Connected to politically exposed individual under investigation,2025-06-07
ACCT200443,Open Source Intelligence,Shell Company Association,0.76,Referenced in dark web forum discussing illicit financial transfers,2025-07-01
ACCT200190,Social Media Monitoring,Sanctions Exposure,0.95,Named in leaked documents involving offshore tax structures,2025-07-10
ACCT200188,Dark Web Monitoring,Terror Financing Link,0.89,Named in leaked documents involving offshore tax structures,2024-11-07
CUST90097,Social Media Monitoring,Sanctions Exposure,0.88,Mentioned in regulatory investigation related to financial misconduct,2024-12-21
ACCT200276,Sanctions Watchlist,Terror Financing Link,0.62,Identified in sanctions advisory regarding suspicious financial networks,2025-08-22
ACCT200225,Financial News Feed,Shell Company Association,0.87,Connected to politically exposed individual under investigation,2024-02-16
ACCT200286,Regulatory Bulletin,Crypto Laundering Indicator,0.69,Mentioned in regulatory investigation related to financial misconduct,2025-05-10
ACCT200087,Financial News Feed,Fraud Investigation Mention,0.76,Linked to offshore shell company registered in Cayman Islands,2025-04-08
CUST90063,Social Media Monitoring,Sanctions Exposure,0.6,Associated with high-risk cryptocurrency exchange activity,2024-05-26
CUST90275,Sanctions Watchlist,Terror Financing Link,0.78,Named in leaked documents involving offshore tax structures,2024-06-01
CUST90029,Dark Web Monitoring,Negative Media,0.9,Mentioned in regulatory investigation related to financial misconduct,2025-07-21
CUST90071,Sanctions Watchlist,Politically Exposed Person Link,0.7,Mentioned in regulatory investigation related to financial misconduct,2024-05-11
ACCT200246,Regulatory Bulletin,Terror Financing Link,0.8,Identified in sanctions advisory regarding suspicious financial networks,2024-10-15
ACCT200302,Dark Web Monitoring,Negative Media,0.69,Identified in sanctions advisory regarding suspicious financial networks,2024-01-01
ACCT200309,Social Media Monitoring,Offshore Account Activity,0.61,Referenced in dark web forum discussing illicit financial transfers,2024-11-05
CUST90094,Sanctions Watchlist,Fraud Investigation Mention,0.82,Negative media coverage related to corruption allegations,2024-06-25
ACCT200315,Regulatory Bulletin,Sanctions Exposure,0.69,Negative media coverage related to corruption allegations,2025-06-24
ACCT200380,Financial News Feed,Terror Financing Link,0.92,Named in leaked documents involving offshore tax structures,2024-08-06
CUST90269,Social Media Monitoring,Politically Exposed Person Link,0.6,Connected to politically exposed individual under investigation,2025-06-29
ACCT200051,Regulatory Bulletin,Terror Financing Link,0.71,Named in leaked documents involving offshore tax structures,2024-10-10
CUST90281,Social Media Monitoring,Offshore Account Activity,0.6,Associated with high-risk cryptocurrency exchange activity,2025-01-10
ACCT200059,Social Media Monitoring,Sanctions Exposure,0.79,Connected to politically exposed individual under investigation,2025-02-17
ACCT200113,Social Media Monitoring,Sanctions Exposure,0.7,Connected to politically exposed individual under investigation,2024-04-17
CUST90093,Social Media Monitoring,Terror Financing Link,0.59,Negative media coverage related to corruption allegations,2024-05-02
CUST90242,Social Media Monitoring,Fraud Investigation Mention,0.91,Referenced in dark web forum discussing illicit financial transfers,2024-10-20
ACCT200348,Regulatory Bulletin,Fraud Investigation Mention,0.57,Linked to offshore shell company registered in Cayman Islands,2024-05-14
ACCT200233,Open Source Intelligence,Crypto Laundering Indicator,0.62,Associated with high-risk cryptocurrency exchange activity,2025-07-22
ACCT200490,Dark Web Monitoring,Fraud Investigation Mention,0.87,Connected to politically exposed individual under investigation,2024-01-13
ACCT200279,Open Source Intelligence,Shell Company Association,0.61,Named in leaked documents involving offshore tax structures,2025-08-03
ACCT200386,Social Media Monitoring,Negative Media,0.75,Connected to politically exposed individual under investigation,2025-06-24
CUST90049,Regulatory Bulletin,Crypto Laundering Indicator,0.95,Named in leaked documents involving offshore tax structures,2024-09-15
CUST90148,Social Media Monitoring,Shell Company Association,0.68,Connected to politically exposed individual under investigation,2024-05-18
ACCT200041,Dark Web Monitoring,Shell Company Association,0.62,Associated with high-risk cryptocurrency exchange activity,2024-12-09
CUST90282,Open Source Intelligence,Fraud Investigation Mention,0.48,Negative media coverage related to corruption allegations,2024-04-06
